gene	female_middle_adult_2
10560	-0.04027504574139237
10561	0
10562	-0.12747361529703097
10563	0
10564	0
10565	0
10566	0
10567	0.01309870839397246
10568	0.00272919425967266
10569	0.00164675758126898
10570	-0.00178675155174961
10572	-0.0164292345449746
10573	0
10574	-0.01462163714536527
10575	0
10576	0
10577	-0.00590481540983884
10578	0.0264964174514596
10579	-0.00299537210332975
1058	0
10580	-0.00572286583256276
10581	0.06867491194923483
10584	0
10585	0
10586	0
10587	0.02398997488465879
10589	0
1059	0.01365848263985494
10590	0
10591	-0.0270146607880452
10592	0
10594	-0.00509046536402467
10595	0.00988754183662467
10598	0
10599	0
1060	0
10600	0
10602	0.01188189580430323
10603	0
10606	-0.01236087425846045
10607	0
10608	0.03049712363247302
10609	0
10610	0
10611	0
10612	0
10613	0
10614	0.00920243896354135
10615	0.00367155071837238
10616	0
10617	-0.01475027569065743
10618	0
1062	0.01280804442447411
10621	-0.01046658844654078
10622	0
10623	0.01058439461718485
10625	-0.00723157377707804
10627	-0.00232445706163717
10628	0
10629	0.04408311903967522
1063	0
10630	0
10631	-0.00206455032606896
10632	-0.01109106345248017
10633	0.00588653211486954
10634	-0.01784613689547071
10635	0.04186582497089088
10636	0
10637	-0.00281993829082011
10640	0
10641	0
10642	0
10643	0.01249055744302799
10644	-0.02177263612545662
10645	-0.01304949229376638
10647	0
10648	0
10650	-0.04013159446621014
10651	-0.02024583593964093
10652	0
10653	0
10654	-0.02787615520169376
10655	0
10656	0
10657	0
10658	-3.0885590562902e-4
10659	0
10660	0
10661	0.02126639178118262
10663	0
10664	0
10665	0
10666	0
10667	0.02522144278416687
10668	0
