gene	male-old_adult-fine-3
101928539	0.001389323341592919
101928555	0
101928557	0.025591887278591113
101928559	0
101928565	-0.09114993824012736
101928571	-1.9363711034711754e-4
101928578	0
101928580	0
101928583	-0.018099210509511625
101928590	0.007737579261316656
101928597	0.05334507426737315
101928602	-0.006689213267241976
101928616	0
101928618	0
101928622	0.01939723111998427
101928646	0
101928649	0.004788832302456702
101928651	0
101928661	0
101928673	0.016020202308020724
101928682	0
101928684	0
101928687	-0.06627342926041047
101928694	0
101928700	0
101928707	0
101928708	0
101928710	0.013293335356889929
101928725	0
101928728	0
101928731	0.00960898771398499
101928739	0.024860808589618314
101928748	0
101928751	0
101928770	0
101928773	0
101928778	0
101928784	-0.026084243920268476
101928790	0.0030586010511455355
101928795	0
101928797	0.031980702093195444
101928809	0
101928820	8.630473132943537e-5
101928823	0.02283962844491209
101928834	0.055152514625753955
101928837	0.05403955180213598
101928844	2.188977619045826e-5
101928845	0
101928846	0
101928847	0
101928850	2.600396295113969e-4
101928857	0.010316122453026282
101928858	0
101928865	0
101928881	-0.005073269783115728
101928886	0
101928894	0
101928896	0
101928909	0
101928922	-0.025019788193599794
101928937	0
101928940	-6.123575307481654e-5
101928973	0
101928978	0
101928988	0.010175771979234865
101928989	0
101928999	0
101929002	0
101929004	0
101929019	0
101929027	0
101929034	0
101929052	0
101929064	0.019574045833064734
101929076	0
101929081	0
101929084	0
101929109	0.00906696496409022
101929110	0.03514495718263084
101929116	0
101929123	0
101929144	0
101929151	0
101929153	0
101929154	0
101929162	0.024288914179073938
101929164	0
101929172	0
101929176	0.00901226446607019
101929181	0
101929210	0
101929224	0
101929239	0
101929241	-0.014119924567506574
101929243	-0.009914366927863327
101929260	0
101929261	0.010579875508380899
101929265	0
101929268	0
101929269	0
101929288	0
101929315	0
101929328	0.014433409190621523
101929335	0.05548865103836442
101929378	0.05784321163535455
101929384	0
101929406	0
101929407	0
101929413	0
101929423	0.005243311434098202
101929441	0.006201274898391472
101929460	0
101929472	0
101929478	0
101929486	0
101929488	0
101929497	-0.00825069766471066
101929505	0
101929511	0
101929517	0
101929524	0
101929526	0
101929528	0
101929529	1.922242008177707e-4
101929536	0
101929538	0.028489743193862303
101929549	-0.00667222412338922
101929552	0
101929557	0
101929570	0
101929582	0
101929584	0.007908348869729864
101929586	0
101929591	0.02052762131526223
101929592	-0.003960341645258308
101929607	0
101929620	0
